Item,Calories,Total Fat (% Daily Value),Sugars,Protein
Iced Tea (Small),0,0,0,0
Iced Tea (Medium),0,0,0,0
Iced Tea (Large),0,0,0,0
Iced Tea (Child),0,0,0,0
Sweet Tea (Small),150,0,36,1
Sweet Tea (Medium),180,0,45,1
Sweet Tea (Large),220,0,54,1
Sweet Tea (Child),110,0,27,0
Coffee (Small),0,0,0,0
Coffee (Medium),0,0,0,0
Coffee (Large),0,0,0,0
Latte (Small),170,13,12,9
Latte (Medium),210,16,15,11
Latte (Large),280,21,20,15
Caramel Latte (Small),270,13,38,9
Caramel Latte (Medium),340,16,48,11
Caramel Latte (Large),430,21,59,15
Hazelnut Latte (Small),270,13,38,9
Hazelnut Latte (Medium),330,16,47,11
Hazelnut Latte (Large),430,21,58,15
French Vanilla Latte (Small),260,13,36,9
French Vanilla Latte (Medium),330,16,45,11
French Vanilla Latte (Large),420,21,56,15
Latte with Sugar Free French Vanilla Syrup (Small),210,13,12,9
Latte with Sugar Free French Vanilla Syrup (Medium),260,16,15,12
Latte with Sugar Free French Vanilla Syrup (Large),330,21,20,15
Nonfat Latte (Small),100,0,13,10
Nonfat Latte (Medium),130,0,16,12
Nonfat Latte (Large),170,1,21,16
Nonfat Caramel Latte (Small),200,0,39,10
Nonfat Caramel Latte (Medium),250,0,48,12
Nonfat Caramel Latte (Large),310,1,59,16
Nonfat Hazelnut Latte (Small),200,0,38,10
Nonfat Hazelnut Latte (Medium),250,0,48,12
Nonfat Hazelnut Latte (Large),310,1,59,16
Nonfat French Vanilla Latte (Small),190,0,37,10
Nonfat French Vanilla Latte (Medium),240,0,46,12
Nonfat French Vanilla Latte (Large),300,1,56,16
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),140,0,13,10
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),170,0,16,12
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),220,1,21,16
Mocha (Small),340,18,42,10
Mocha (Medium),410,21,53,13
Mocha (Large),500,26,63,16
Mocha with Nonfat Milk (Small),270,5,43,11
Mocha with Nonfat Milk (Medium),330,6,53,13
Mocha with Nonfat Milk (Large),390,6,64,17
Caramel Mocha (Small),320,17,40,10
Caramel Mocha (Medium),390,21,50,12
Caramel Mocha (Large),480,26,60,16
Nonfat Caramel Mocha (Small),250,5,41,10
Nonfat Caramel Mocha (Medium),310,5,51,13
Nonfat Caramel Mocha (Large),370,6,61,17
Hot Chocolate (Small),360,21,45,11
Hot Chocolate (Medium),440,25,56,14
Hot Chocolate (Large),540,31,68,17
Hot Chocolate with Nonfat Milk (Small),280,5,46,12
Hot Chocolate with Nonfat Milk (Medium),340,5,57,14
Hot Chocolate with Nonfat Milk (Large),400,6,69,19
Regular Iced Coffee (Small),140,7,22,1
Regular Iced Coffee (Medium),190,11,30,1
Regular Iced Coffee (Large),270,14,45,2
Caramel Iced Coffee (Small),130,7,21,1
Caramel Iced Coffee (Medium),180,11,28,1
Caramel Iced Coffee (Large),260,14,42,2
Hazelnut Iced Coffee (Small),130,7,20,1
Hazelnut Iced Coffee (Medium),180,11,28,1
Hazelnut Iced Coffee (Large),250,14,41,2
French Vanilla Iced Coffee (Small),120,7,19,1
French Vanilla Iced Coffee (Medium),170,11,26,1
French Vanilla Iced Coffee (Large),240,14,39,2
Iced Coffee with Sugar Free French Vanilla Syrup (Small),80,7,1,1
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),120,11,2,1
Iced Coffee with Sugar Free French Vanilla Syrup (Large),160,14,2,2
Iced Mocha (Small),290,17,34,8
Iced Mocha (Medium),350,19,43,9
Iced Mocha (Large),480,25,62,14
Iced Mocha with Nonfat Milk (Small),240,8,35,8
Iced Mocha with Nonfat Milk (Medium),290,8,43,10
Iced Mocha with Nonfat Milk (Large),390,9,62,14
Iced Caramel Mocha (Small),280,17,33,8
Iced Caramel Mocha (Medium),340,19,41,9
Iced Caramel Mocha (Large),460,25,59,13
Iced Nonfat Caramel Mocha (Small),230,8,33,8
Iced Nonfat Caramel Mocha (Medium),270,8,41,10
Iced Nonfat Caramel Mocha (Large),370,8,59,14
Frappé Mocha (Small),450,28,57,7
Frappé Mocha (Medium),550,34,71,9
Frappé Mocha (Large),670,41,88,11
Frappé Caramel (Small),450,29,57,7
Frappé Caramel (Medium),550,35,71,9
Frappé Caramel (Large),670,42,88,11
Frappé Chocolate Chip (Small),530,35,67,8
Frappé Chocolate Chip (Medium),630,41,81,9
Frappé Chocolate Chip (Large),760,48,99,12
