Item,Calories,Total Fat (% Daily Value),Sugars,Protein
Egg McMuffin,300,20,3,17
Egg White Delight,250,12,3,18
Sausage McMuffin,370,35,2,14
Sausage McMuffin with Egg,450,43,2,21
Sausage McMuffin with Egg Whites,400,35,2,21
Steak & Egg McMuffin,430,36,3,26
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",460,40,3,19
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",520,47,4,19
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",410,32,3,20
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",470,38,4,20
Sausage Biscuit (Regular Biscuit),430,42,2,11
Sausage Biscuit (Large Biscuit),480,48,3,11
Sausage Biscuit with Egg (Regular Biscuit),510,50,2,18
Sausage Biscuit with Egg (Large Biscuit),570,57,3,18
Sausage Biscuit with Egg Whites (Regular Biscuit),460,42,3,18
Sausage Biscuit with Egg Whites (Large Biscuit),520,49,3,18
Southern Style Chicken Biscuit (Regular Biscuit),410,31,3,17
Southern Style Chicken Biscuit (Large Biscuit),470,37,4,17
Steak & Egg Biscuit (Regular Biscuit),540,49,3,25
"Bacon, Egg & Cheese McGriddles",460,32,15,19
"Bacon, Egg & Cheese McGriddles with Egg Whites",400,24,16,20
Sausage McGriddles,420,34,15,11
"Sausage, Egg & Cheese McGriddles",550,48,15,20
"Sausage, Egg & Cheese McGriddles with Egg Whites",500,40,15,21
"Bacon, Egg & Cheese Bagel",620,48,7,30
"Bacon, Egg & Cheese Bagel with Egg Whites",570,39,8,30
"Steak, Egg & Cheese Bagel",670,53,7,33
Big Breakfast (Regular Biscuit),740,73,3,28
Big Breakfast (Large Biscuit),800,80,3,28
Big Breakfast with Egg Whites (Regular Biscuit),640,57,3,26
Big Breakfast with Egg Whites (Large Biscuit),690,63,4,26
Big Breakfast with Hotcakes (Regular Biscuit),1090,87,17,36
Big Breakfast with Hotcakes (Large Biscuit),1150,93,17,36
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),990,70,17,35
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),1050,77,18,35
Hotcakes,350,13,14,8
Hotcakes and Sausage,520,37,14,15
Sausage Burrito,300,25,2,12
Hash Brown,150,14,0,1
Cinnamon Melts,460,30,32,6
Fruit & Maple Oatmeal,290,6,32,5
Fruit & Maple Oatmeal without Brown Sugar,260,6,18,5
