Item,Prices
1 Breakfast Burrito Extra Value Meal,CAN$ 6.01
2 Breakfast Burritos Extra Value Meal,CAN$ 8.89
Everything Bacon ‘N Egg Bagel Extra Value Meal,CAN$ 8.39
Spicy Habanero Bacon ‘N Egg McMuffin Extra Value Meal,CAN$ 7.87
Sesame Bacon ‘N Egg Bagel Extra Value Meal,CAN$ 8.39
Plain Sausage ‘N Egg Bagel Extra Value Meal,CAN$ 8.39
Everything Sausage ‘N Egg Bagel Extra Value Meal,CAN$ 8.09
Egg McMuffin Extra Value Meal,CAN$ 7.49
Bacon ‘N Egg McMuffin Extra Value Meal,CAN$ 7.59
"Sausage, Egg & Cheese McGriddles Extra Value Meal",CAN$ 7.59
Sausage ‘N Egg McMuffin Extra Value Meal,CAN$ 7.59
"Bacon, Egg & Cheese McGriddles Extra Value Meal",CAN$ 7.89
Sausage McGriddle Extra Value Meal,CAN$ 7.02
Plain Bacon ‘N Egg Bagel Extra Value Meal,CAN$ 8.39
